rank,lemma,original_sentence,final_sentence,original_english_sentence
7162,tratamientos,El porcentaje de pacientes que alcanzaron fue comparable entre los grupos de tratamientos.,Grupos de tratamientos.,The percentage of patients who achieved was comparable between treatment groups.
7207,matamos,Los matamos para comida de mascotas para hacer solvente por dios entonces dónde queda su nobleza.,Los matamos para comida de mascotas.,We kill them for pet food to make solvent by god then where their nobility remains.
7211,evitando,Sé que me estás evitando pero necesito hablarte así que hazme un favor llámame.,Sé que me estás evitando.,"I know you're avoiding me, but I need to talk to you, so do me a favor, call me."
7261,celebra,Celebra sus fiestas el de mayo en honor de su patrón san isidro labrador.,Celebra sus fiestas el de mayo.,It celebrates its May holidays in honor of its patron saint isidro labrador.
7283,futuros,Son un buen augurio del éxito de los trabajos futuros en materia presupuestaria.,Los trabajos futuros en materia presupuestaria.,It augurs well for the success of future work in budgetary matters.
7295,elaborado,Comprobación de que los productos se han elaborado con los ritmos establecidos en el programa.,Han elaborado con los ritmos establecidos.,Checking that the products have been produced at the rates set out in the programme.
7300,evaluar,Puede que tú lo sepas pero yo no he podido evaluar su estado.,Yo no he podido evaluar su estado.,"You may know that, but I haven't been able to assess her condition."
7315,secundario,En la ciudad podré ir al secundario y luego a la escuela de secretarias.,En la ciudad podré ir al secundario.,In the city I'll be able to go to high school and then to secretary school.
7350,deterioro,A pesar del deterioro de la situación en afganistán no todo está perdido.,Pesar del deterioro de la situación.,"Despite the deteriorating situation in Afghanistan, not everything is lost."
7352,departamentos,Se trata de empresas de dimensión media o de departamentos de vastos grupos industriales diversificados.,De departamentos de vastos grupos industriales diversificados.,These are medium-sized companies or departments of vast diversified industrial groups.
7353,convertirá,El de enero de bulgaria se convertirá en miembro de la unión europea.,Bulgaria se convertirá en miembro.,The January of Bulgaria will become a member of the European Union.
7360,comenzará,Art la presente comenzará a regir el día siguiente a su publicación en el boletín oficial.,Comenzará a regir el día siguiente.,This article shall begin to apply on the day following its publication in the official gazette.
7369,invitada,Ya sé que no tengo que ser invitada para entrar pero es cortés.,Ya sé que no tengo que ser invitada para entrar.,"I know I don't have to be invited in, but it's polite."
7376,asociado,Profesor asociado de derecho internacional en la escuela de derecho de la universidad de trento.,Profesor asociado de derecho internacional.,Associate professor of international law at the law school of the University of Trento.
7390,irlandés,Qué cojones hace el ejército republicano irlandés auténtico en medio de todo esto.,Ejército republicano irlandés auténtico en medio.,What the hell is the real Irish Republican army doing in the middle of all this?
7430,desaparecidos,Lo tienen en la lista de desaparecidos por supuesto eso no es cierto.,Desaparecidos por supuesto eso no es.,They have him on the missing list of course that's not true.
7459,indias,Un conejillo de indias un jerbo y un hámster entrar en un pub.,Un conejillo de indias un jerbo.,A guinea pig a gerbil and a hamster enter a pub.
7500,fábricas,En cuanto a él en todas las fábricas del norte de italia tenía intereses muy considerables.,Todas las fábricas del norte.,As for him in all the factories in northern Italy he had very considerable interests.
7526,bendito,Padre bendito protege con tu espada a mi esposa y a mi hijo.,Padre bendito protege con tu espada a mi esposa.,Blessed Father protects my wife and son with your sword.
7533,externo,Servicio de acción externo europeo base de datos de oficina de los tratados.,Acción externo europeo base de datos.,European External Action Service Treaty Office Database.
7539,retiró,La parte de la denuncia presentada a la comisión se retiró en junio.,Comisión se retiró en junio.,The part of the complaint submitted to the commission was withdrawn in June.
7550,empleos,En la crisis de hoy reside la oportunidad de mañana oportunidad económica medida en empleos y crecimiento.,Medida en empleos.,In today's crisis lies tomorrow's opportunity for economic opportunity measured in jobs and growth.
7606,campañas,Me entristece comprobar que a pesar de las campañas existen tantas personas que empiezan a fumar.,Las campañas existen tantas personas que empiezan.,I am saddened to see that despite the campaigns there are so many people who start smoking.
7616,considerarse,Así el parlamento puede considerarse satisfecho en general con el resultado de esta propuesta.,Parlamento puede considerarse satisfecho en general.,In this way Parliament can be generally satisfied with the outcome of this proposal.
7664,indígena,En diciembre de se recibió la noticia del asesinato de un conocido líder indígena el sr.,Conocido líder indígena el sr.,"In December, news was received of the murder of a well-known indigenous leader, Mr."
7671,parlamentario,Resolución del parlamento europeo sobre los trabajos de la comisión de peticiones en el ejercicio parlamentario.,El ejercicio parlamentario.,Parliament resolution on the work of the Committee on Petitions in the parliamentary exercise.
7674,reveló,La autopsia preliminar reveló un solo corte de dos pulgadas en la barbilla.,Autopsia preliminar reveló un solo corte.,The preliminary autopsy revealed a single two-inch cut on the chin.
7687,incluidos,El éxito del desarrollo depende del uso de todos los recursos disponibles incluidos los recursos humanos.,Recursos disponibles incluidos los recursos humanos.,"The success of development depends on the use of all available resources, including human resources."
7689,cesar,Deben cesar las violaciones de los derechos humanos cometidas por todas las partes.,Deben cesar las violaciones.,Human rights violations committed by all parties must cease.
7696,simultáneamente,El período de protección empieza a contar simultáneamente en todos los estados miembros.,Contar simultáneamente en todos los estados miembros.,The period of protection begins to count simultaneously in all Member States.
7698,sujeta,La ayuda del estado está sujeta a la prueba de realización de la formación.,Estado está sujeta a la prueba.,State aid is subject to proof of completion of the training.
7705,relojes,Me pasé todo el día tratando de vender esos relojes y no conseguí nada.,Me pasé todo el día tratando de vender esos relojes.,I spent all day trying to sell those watches and I got nothing.
