rank,sentence,english_sentence
479,Tiene la oportunidad de empezar de nuevo.,He's got a chance to start over.
480,Ayer fui andando al trabajo.,I walked to work yesterday.
481,Se encuentra a años luz del sistema solar.,It is within light years of the solar system.
482,Sin embargo uno de ellos tiene un precio.,However one of them has a price.
483,No sé nada de ningún teléfono.,I don't know anything about a phone.
484,Que sucede en dilwale piensas algo dices otra cosa es una gran escena mira eso.,What happens in Dilwale you think something else you say is a big scene look at that.
485,Carol debe más de seis cifras.,Carol owes more than six figures.
486,Por eso tenía que estar tan alto.,That's why he had to be so tall.
487,Se habla mucho de ti.,There's a lot of talk about you.
488,Es el que estaba en la fiesta.,He's the one at the party.
489,No no me volví loco.,I didn't go crazy.
490,Me fui por la puerta de atrás.,I went out the back door.
491,Escucha debemos ir a verlo.,"Listen, we need to go see him."
492,El me hizo la misma pregunta.,He asked me the same question.
493,Pero dos no hacen un patrón.,But two don't make a pattern.
494,Por favor no puedo seguir con esto.,"Please, I can't do this anymore."
495,Vamos realmente te quieren escuchar.,"Come on, they really want to hear you."
496,No te dio alguna referencia.,He didn't give you any reference.
497,Está bien un paso a la vez.,It's okay one step at a time.
498,Lo único que me falta es dinero.,All I need is money.
499,No es fácil tener años.,It's not easy to have years.
500,Ya se había ido cuando llegué.,He was gone by the time I got here.
501,Tal vez debería llamar a mis padres.,Maybe I should call my parents.
502,No vino con un hombre.,He didn't come with a man.
503,No la verdad tú lo hiciste.,Not really you did.
504,"Cuando llegué, ya estaban dentro.","When I got there, they were already inside."
505,Entiende ahora la situación en la que se encuentra.,He now understands the situation in which he finds himself.
506,No te oigo ahí abajo.,I can't hear you down there.
507,La única mujer de la isla.,The only woman on the island.
508,Sigue siendo igual de simpático.,He's still just as nice.
509,Por favor no de este modo por qué.,Please not this way why.
510,Tenemos una parte de la información.,We have some of the information.
511,Te doy cinco dólares por ellas.,I'll give you five bucks for them.
512,Y ahora asegúrese de que nuestro cliente esté bien porque no podemos permitirnos llegar tarde.,And now make sure our client's okay because we can't afford to be late.
513,Sabes lo que has hecho a mi hermana.,You know what you've done to my sister.
514,No tuvo contacto con victoria.,He had no contact with victory.
515,Nos has dado lo que habíamos olvidado.,You gave us what we forgot.
516,Bueno en realidad no me gusta esa música.,"Well, I don't really like that music."
517,Por que no puedes dejarlo en paz.,Because you can't leave him alone.
518,No es tu culpa papá.,"It's not your fault, Dad."
519,Lo único que me queda por hacer es contarle a la policía.,All I have left to do is tell the police.
520,Debe ser una cita real.,Must be a real date.
521,Necesitaremos un auto también cierto.,"We'll need a car, too."
522,Creo que la palabra es gracias.,I think the word is thank you.
523,No deberías también cambiar un poco tu voz.,"You shouldn't change your voice a bit, too."
524,No puedo decir que no me sentí sola sin ti.,I can't say I wasn't lonely without you.
525,Estudió derecho en nueva york.,He studied law in new york.
526,Sólo una lista de nombres.,Just a list of names.
527,Consejo de la unión euro europeo partido.,Council of the European Union party.
528,Cómo va con esa orden judicial.,How's it going with that warrant?
529,Qué es lo que debería hacer exactamente.,Which is exactly what I should do.
530,Fui miembro de frente nacional.,I was a member of the national front.
531,Sabe y creo que estoy listo para salir.,"You know, and I think I'm ready to go."
532,Quieres que te haga la comida.,You want me to make you food.
533,No necesitamos hablar sobre esto ahora mismo.,We don't need to talk about this right now.
534,Habría podido ser un hombre notable.,He could have been a remarkable man.
535,Cuál será su próximo libro.,What's your next book?
536,En realidad yo soy el capitán.,"Actually, I'm the captain."
537,Entonces hice que tu mente sutilmente tachara opciones diciendo.,Then I had your mind subtly cross out options by saying.
538,No vas a comer primero.,You're not going to eat first.
539,Ya sabemos cómo va esto.,We know how this goes.
540,Tienes que estar lejos de la gente.,You have to be away from people.
541,Quiero saber qué está pasando acá.,I want to know what's going on here.
542,No queremos morir por culpa suya.,We don't want to die because of him.
543,Bueno quizás este fenómeno te haga hablar.,"Well, maybe this freak will make you talk."
544,Vuelve a tu puesto chico.,"Go back to your post, boy."
545,Están en la calle.,They're on the street.
546,Crees que no sé que dicen.,You think I don't know what they say.
547,Toda esa mierda que les estabas diciendo.,All that shit you were telling them.
548,No tengo tiempo par eso.,I don't have time for that.
549,No estoy interesado en política sr cohn.,"I'm not interested in politics, Mr Cohn."
550,No puede ser el malo.,He can't be the bad guy.
551,Lo vi en su habitación.,I saw him in his room.
552,Probablemente está en mi casa.,He's probably at my house.
553,La comida estuvo buenísima.,The food was really good.
554,Éste es el arma del crimen.,This is the murder weapon.
555,El director debe tener un plan.,The director must have a plan.
556,Un poco especial pero bueno.,A little special but good.
557,No puedes decir esas palabras.,You can't say those words.
558,Será por una pequeña temporada.,It'll be for a little while.
559,Así que solo vive tu vida ok.,So just live your life ok.
560,Estoy empezando a creer que tenía razón.,I'm starting to think I was right.
561,Mi relación con mi padre.,My relationship with my father.
562,Tienes que matar a las chicas malas.,You have to kill the bad girls.
563,Funciones de la ley especial.,Functions of the special law.
564,El bebé está a punto de nacer.,The baby's about to be born.
565,Yo estoy pensando en él.,I'm thinking about him.
566,Le digo que no le conozco.,"I'm telling you, I don't know him."
567,Vamos a simplemente a comer.,Let's just eat.
568,Sabes acerca de los espíritus.,You know about spirits.
569,Puedo hacerlo en diez minutos.,I can do it in ten minutes.
570,Tanto como sería de esperar.,As much as you'd expect.
571,Nada a través del juego.,Nothing through the game.
572,Tuve que irme antes.,I had to leave early.
573,Tú no eres el centro del universo.,You're not the center of the universe.
574,El vuelo fue largo peter.,The flight was long peter.
575,Lo que nos da la razón para seguir buscando.,Which gives us the reason to keep looking.
576,Yo soy muy bueno en la cama.,I'm very good in bed.
577,Nuestras familias llevan el mismo tiempo aquí.,Our families have been here the same time.
578,Le he dicho que es un recuerdo.,I told you it's a souvenir.
579,Por eso lo llaman el rey.,That's why they call him the king.
580,La comunidad autónoma de cantabria españa.,The autonomous community of cantabria spaña.
581,Creo que es la voz de mi madre.,I think it's my mother's voice.
582,Por qué no la repartió con los demás.,Why didn't you split it with the others?
583,La sra. López ya ha llegado.,Mrs. Lopez has arrived.
584,Viene y va ya saben.,"He comes and goes, you know."
585,Las mil y una noches.,A thousand and one nights.
586,Así no se lleva la comunidad.,That's not how the community gets along.
587,No me importa quién los tenga siempre que pueda conseguirlos.,I don't care who has them as long as I can get them.
588,Bueno si necesitas algo más mi puerta siempre está abierta.,"Well, if you need anything else, my door is always open."
589,Voy a volver a conseguir más hombres.,I'm gonna get more men back.
590,Es una cosa que amo de él.,It's a thing I love about him.
591,Mucha gente crea su propia empresa.,A lot of people create their own company.
592,Una niña tras mi propio corazón.,A child after my own heart.
593,Bueno estamos en estado de sitio.,"Well, we're in a state of siege."
594,Igual que el resto de ellos.,Just like the rest of them.
595,No dónde está la oficina.,Not where the office is.
596,El hecho es que esto te deja libre.,"The fact is, this leaves you free."
597,Estoy segura que hiciste todo lo que pudiste.,I'm sure you did everything you could.
598,Serías el peor marido del mundo.,You'd be the worst husband in the world.
599,Mañana estará todo listo.,It'll all be ready tomorrow.
600,Poner de nuevo hacia arriba.,Put it back up.
601,Lo harán por la fuerza si es necesario.,They'll do it by force if necessary.
602,No os llevéis a mi marido.,Don't take my husband.
603,Vamos sin el arma por favor.,"Let's go without the gun, please."
604,No soy tu puta madre.,I'm not your fucking mother.
605,No nunca oído hablar de ello.,Never heard of it.
606,Me puede dar un café para llevar.,You can give me a coffee to go.
607,¿Podrías cerrar la ventana?,Could you close the window?
608,Por ejemplo solo todo esto y todo esto.,"For example, just all this and all this."
609,Hay mucha gente por aquí estás.,There's a lot of people around here.
610,Hay una bomba en el cuarto de control.,There's a bomb in the control room.
611,Lo estaba esperando en la puerta.,I was waiting for you at the door.
612,Qué estaba haciendo para llamar su atención.,What he was doing to get his attention.
613,Don está de acuerdo conmigo.,Don agrees with me.
614,El fuego que todo el día.,The fire that all day long.
615,No me has llamado esta mañana.,You didn't call me this morning.
616,La persona humana madrid doncel.,The human person madrid doncel.
617,La idea de este viaje.,The idea of this trip.
618,Te vas a quedar a dormir.,You're going to sleep.
619,Qué habéis hecho en mi cuarto.,What have you done in my room?
620,El dr. Martín me atendió ayer.,Dr. Martin treated me yesterday.
621,La sección se sustituye por el texto siguiente.,The section is replaced by the following:
622,Va a matar como una semana.,He's gonna kill about a week.
623,Ya habían salido cuando llamaste.,They were already out when you called.
624,No hagas ruido al entrar.,Don't make a sound when you come in.
625,Así que ambos salimos ganando.,So we both won.
626,Seguro que habrá más gente.,I'm sure there'll be more people.
627,He perdido a toda una mujer.,I've lost a whole woman.
628,Bueno entonces haz la prueba.,"Well, then do the test."
629,Me necesitan para el futuro.,They need me for the future.
630,Ya no les interesa trabajar en el campo.,They're no longer interested in working in the field.
631,Ellos deben estar por llegar en cualquier momento.,They must be here any minute.
632,Es como cuando estaba en el hospital.,It's like when I was in the hospital.
